Datum,Beskrivning,Kortmedlem,Konto #,Belopp
10/15/2025,ICA SUPERMARKET MALMÖ,EXEMPEL ANVÄNDARE,-12345,"1250,50"
10/18/2025,SHELL BENSINSTATION,EXEMPEL ANVÄNDARE,-12345,"650,00"
10/20/2025,NETFLIX SUBSCRIPTION,EXEMPEL ANVÄNDARE,-12345,"119,00"
10/22/2025,COOP SUPERMARKET,EXEMPEL ANVÄNDARE,-12345,"845,75"
10/23/2025,SPOTIFY PREMIUM,EXEMPEL ANVÄNDARE,-12345,"119,00"
09/28/2025,"BETALNING MOTTAGEN, TACK",EXEMPEL ANVÄNDARE,-12345,"-8500,00"
09/25/2025,RESTAURANG VERANDA,EXEMPEL ANVÄNDARE,-12345,"567,00"
09/24/2025,APPLE.COM/BILL,EXEMPEL ANVÄNDARE,-12345,"139,00"
09/22/2025,WILLYS HANDEL,EXEMPEL ANVÄNDARE,-12345,"1567,25"
09/20/2025,APOTEK HJÄRTAT,EXEMPEL ANVÄNDARE,-12345,"234,50"
